filename,company,chunk_id,text
Jacob.pdf,Jacob,1,EMPLOYEE HANDBOOK 2020 Version JACOB Heating & Air Conditioning Employee Handbook 1 TABLE OF CONTENTS TABLE OF CONTENTS ................................ ................................ ................................ ............. 1 INTRODUCTION ................................ ................................ ................................ ....................... 4 100. ORGANIZATION - DESCRIPTION ................................ ................................ ..................... 5 101. Nature of Employment ................................ ................................ ................................ ........ 9 102. Employee Relations ................................ ................................ ................................ ........... 9 103. Equal Employment Opportunity ................................ ................................ .......................... 9
Jacob.pdf,Jacob,2,104. Business Ethics and Conduct ................................ ................................ ............................10 105. Hiring of Relatives ................................ ................................ ................................ .............10 106. Employee Medical Examinations ................................ ................................ .......................11 107. Immigration Law Compliance ................................ ................................ ............................11 108. Conflicts of Interest ................................ ................................ ................................ ...........12 109. Outside Employment ................................ ................................ ................................ .........12 110. Non-Disclosures ................................ ................................ ................................ ................13
Jacob.pdf,Jacob,3,111. Disability Accommodations ................................ ................................ ............................... 14 112. Employment Categories ................................ ................................ ................................ ....14 113. Access to Personnel Files ................................ ................................ ................................ .15 114. Employment Reference Checks ................................ ................................ ........................16 115. Personnel Data Changes ................................ ................................ ................................ ..16 116. Introductory Period ................................ ................................ ................................ ............16 117. Employment Applications ................................ ................................ ................................ ..17
Jacob.pdf,Jacob,4,118. Performance Evaluation ................................ ................................ ................................ ....17 119. Employee Benefits ................................ ................................ ................................ ............18 120. Holidays ................................ ................................ ................................ ............................19 121. Workers' Compensation Insurance ................................ ................................ ....................20 122. Time Off to Vote ................................ ................................ ................................ ................20 123. Jury Duty ................................ ................................ ................................ ...........................21 124. Witness Duty ................................ ................................ ................................ .....................21
Jacob.pdf,Jacob,5,125. Benefits Continuation (COBRA) ................................ ................................ ........................21 125. Benefits Continuation (COBRA) ................................ ................................ ........................21 126. Educational Assistance ................................ ................................ ................................ .....22 JACOB Heating & Air Conditioning Employee Handbook 2 127. Paid Time OFF (PTO) ................................ ................................ ................................ .......23 128. Health Insurance ................................ ................................ ................................ ...............24 129. Timekeeping ................................ ................................ ................................ .....................25 130. Paydays ................................ ................................ ................................ ............................26
Jacob.pdf,Jacob,6,131. Employment Terminations ................................ ................................ ................................ .26 132. On-Call Pay ................................ ................................ ................................ .......................27 133. Administrative Pay Corrections ................................ ................................ .........................27 134. Pay Deductions and Setoffs ................................ ................................ .............................. 27 135. Safety ................................ ................................ ................................ ................................ 28 136. Work Schedules ................................ ................................ ................................ ................28 137. Use of Phone System & Cell Phones ................................ ................................ ................29
Jacob.pdf,Jacob,7,138. Smoking ................................ ................................ ................................ ............................29 139. Meal Periods ................................ ................................ ................................ .....................29 140. Overtime ................................ ................................ ................................ ...........................30 141. Use of Equipment and Vehicles ................................ ................................ ........................30 142. Use of Company Supplied Vehicle ................................ ................................ ....................32 143. Emergency Closings ................................ ................................ ................................ .........36 144. Business Travel Expenses ................................ ................................ ................................ 37
Jacob.pdf,Jacob,8,145. Visitors in the Workplace ................................ ................................ ................................ ...37 146. Computer and E-mail Usage ................................ ................................ .............................38 147. Workplace Monitoring................................ ................................ ................................ ........38 148. Workplace Violence Prevention ................................ ................................ .........................39 149. Medical Leave ................................ ................................ ................................ ...................40 150. Family Leave ................................ ................................ ................................ .....................41 151. Personal & Bereavement Leave ................................ ................................ ........................42
Jacob.pdf,Jacob,9,152. Employee Conduct and Work Rules ................................ ................................ ..................43 153. Drug and Alcohol Use ................................ ................................ ................................ .......44 154. Sexual and Other Unlawful Harassment ................................ ................................ ............45 155. Attendance and Punctuality ................................ ................................ ............................... 46 155. Attendance and Punctuality ................................ ................................ ............................... 46 156. Personal Appearance ................................ ................................ ................................ ........46 157. Return of Property ................................ ................................ ................................ .............47
Jacob.pdf,Jacob,10,158. Resignation ................................ ................................ ................................ .......................48 JACOB Heating & Air Conditioning Employee Handbook 3 159. Security Inspections ................................ ................................ ................................ ..........48 160. Solicitation ................................ ................................ ................................ .........................49 161. Drug Testing ................................ ................................ ................................ .....................49 162. Progressive Discipline ................................ ................................ ................................ .......50 163. Life-Threatening Illnesses in the Workplace ................................ ................................ ......51 JACOB Heating & Air Conditioning Employee Handbook 4 INTRODUCTION Welcome!
